Posicao,ID_Imagem,Score
363,image_2558.jpg,0.423501
364,image_1824.jpg,0.422003
365,image_1799.jpg,0.420988
366,image_1387.jpg,0.420832
367,image_336.jpg,0.420470
368,image_881.jpg,0.420281
369,image_647.jpg,0.420065
370,image_2151.jpg,0.419600
371,image_2737.jpg,0.419379
372,image_2735.jpg,0.419269
373,image_2699.jpg,0.418557
374,image_1470.jpg,0.418140
375,image_2200.jpg,0.417937
376,image_2916.jpg,0.417883
377,image_2246.jpg,0.417796
378,image_2404.jpg,0.417486
379,image_2861.jpg,0.416773
380,image_31.jpg,0.416720
381,image_2573.jpg,0.415981
382,image_3076.jpg,0.415773
383,image_2714.jpg,0.415770
384,image_543.jpg,0.414176
385,image_233.jpg,0.412811
386,image_2945.jpg,0.412707
387,image_861.jpg,0.412056
388,image_171.jpg,0.411385
389,image_2117.jpg,0.410200
390,image_1230.jpg,0.408321
391,image_1960.jpg,0.407339
392,image_1350.jpg,0.406978
393,image_1798.jpg,0.406711
394,image_1377.jpg,0.406670
395,image_2276.jpg,0.406428
396,image_2364.jpg,0.405758
397,image_2299.jpg,0.405357
398,image_2569.jpg,0.403704
399,image_2414.jpg,0.403005
400,image_2532.jpg,0.401351
401,image_1543.jpg,0.400429
402,image_1243.jpg,0.400157
403,image_2212.jpg,0.399411
404,image_806.jpg,0.399368
405,image_2839.jpg,0.399148
406,image_1141.jpg,0.399108
407,image_486.jpg,0.398735
408,image_2891.jpg,0.398497
409,image_2808.jpg,0.398209
410,image_1214.jpg,0.396667
411,image_335.jpg,0.396190
412,image_1240.jpg,0.394643
413,image_1431.jpg,0.393919
414,image_231.jpg,0.393856
415,image_1526.jpg,0.392979
416,image_2291.jpg,0.392958
417,image_1874.jpg,0.392849
418,image_2712.jpg,0.391772
419,image_2085.jpg,0.391217
420,image_2656.jpg,0.391126
421,image_2361.jpg,0.390694
422,image_3166.jpg,0.390122
423,image_1521.jpg,0.389726
424,image_1325.jpg,0.389184
425,image_2733.jpg,0.389057
426,image_2690.jpg,0.388767
427,image_2730.jpg,0.387131
428,image_2975.jpg,0.387078
429,image_2694.jpg,0.386577
430,image_941.jpg,0.385528
431,image_2084.jpg,0.385425
432,image_1034.jpg,0.385371
433,image_3067.jpg,0.384836
434,image_453.jpg,0.383155
435,image_1334.jpg,0.382378
436,image_2892.jpg,0.382082
437,image_1507.jpg,0.381480
438,image_2436.jpg,0.380854
439,image_1338.jpg,0.380697
440,image_643.jpg,0.380631
441,image_3167.jpg,0.379461
442,image_2985.jpg,0.378788
443,image_1598.jpg,0.378780
444,image_1789.jpg,0.378695
445,image_1712.jpg,0.378052
446,image_519.jpg,0.377428
447,image_924.jpg,0.377422
448,image_2564.jpg,0.377103
449,image_959.jpg,0.377067
450,image_3084.jpg,0.376954
451,image_2365.jpg,0.376537
452,image_153.jpg,0.376372
453,image_2605.jpg,0.375862
454,image_50.jpg,0.375598
455,image_2555.jpg,0.375104
456,image_2144.jpg,0.374454
